[18:03:48] [main/INFO]: ModLauncher running: args [--username, TheRealJudgeJudy, --version, forge-47.4.0, --gameDir, C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge), --assetsDir, C:\Users\ikene\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, 5e213c2e758e41b0bd5900d7e8d67bde, --accessToken, ????????, --clientId, MzMzNTgwZWQtMWMwYi00Y2JhLWI2ZDgtN2FjYmU5ZTJhMTNm, --xuid, 2535428129093518, --userType, msa, --versionType, release, --width, 1024, --height, 768, --quickPlayPath, C:\Users\ikene\curseforge\minecraft\Install\quickPlay\java\1756508626405.json, --launchTarget, forgeclient, --fml.forgeVersion, 47.4.0, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[18:03:48] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.15 by Microsoft; OS Windows 10 arch amd64 version 10.0
[18:03:57] [main/INFO]: Found mod file elytraslot-forge-6.4.4+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file elytratrims-forge-3.5.9+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file embeddium-0.3.31+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file emi-1.1.22+1.20.1+forge.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file emi-letsdo-compat-1.7.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file emi_enchanting-0.1.2+1.20.1+forge.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file emi_loot-0.7.6+1.20.1+forge.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file emi_ores-1.2+1.20.1+forge.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file emiffect-forge-1.1.2+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file EMIProfessions-forge-1.20.1-1.0.3.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file emitrades-forge-1.2.1+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file EnchantmentDescriptions-Forge-1.20.1-17.1.19.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file EnderStorage-1.20.1-2.11.0.188-universal.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file ends_delight-1.20.1-2.4.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file Enhanced-Celestials-forge-1.20.1-5.0.3.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file entity_model_features_1.20.1-forge-3.0.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file entity_texture_features_1.20.1-forge-7.0.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file entityculling-forge-1.8.2-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file EpheroLib-1.20.1-FORGE-1.2.0.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file everycomp-1.20-2.9.2-forge.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file experienced_crops-1.20.1-1.1.0-forge.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file fallingleaves-1.20.1-2.1.2.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file fallingtrees-forge-mc1.20-0.13.2-SNAPSHOT.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file fancymenu_forge_3.7.0_MC_1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file farmers_croptopia-1.20.1-3.0.0.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file FarmersDelight-1.20.1-1.2.9.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file farmersrespite-1.20.1-2.1.2.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file FarmersStructures-1.0.3-1.20.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file fast-ip-ping-v1.0.7-mc1.20.4-forge.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file fastasyncworldsave-1.20.1-2.6.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file ferritecore-6.0.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file framework-forge-1.20.1-0.7.15.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file ftb-chunks-forge-2001.3.6.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file ftb-essentials-forge-2001.2.3.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[18:03:57] [main/INFO]: Found mod file ftb-library-forge-2001.2.10.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
